,2005 (Number),2006 (Number),2007 (Number),2008 (Number),2009 (Number),2010 (Number),2011 (Number),2012 (Number),Latitude,Longitude
Amsterdam,24(3.2),17(2.3),27(3.6),11(1.5),24(3.2),10(1.3),12(1.5),17(2.1),52.330700,4.866539955
Ankara,196(4.6),200(4.5),192(4.2),155(3.3),120(2.5),135(2.8),103(2.1),121(2.4),39.942902,32.86050034
Athina,49(1.4),43(1.3),68(2),69(2),70(2),82(2.3),86(2.4),66(1.9),37.992802,23.76950073
Belfast,13(4.9),11(4.1),6(2.2),4(1.5),7(2.6),9(3.3),3(1.1),2(0.7),54.596500,-5.955880165
Beograd,49(3),52(3.1),51(3.1),38(2.5),27(1.5),20(1.4),35(2.2),22(1.3),44.813099,20.46326065
Berlin,60(1.8),50(1.5),42(1.2),42(1.2),61(1.8),37(1.1),35(1),45(1.3),52.501408,13.40232849
Bern,1(0.8),3(2.5),0(0),2(1.7),1(0.8),0(0),0(0),0(0),46.941601,7.408860207
Bratislava,11(2.6),15(3.5),16(3.8),10(2.3),9(2.1),8(1.9),14(3.2),12(2.9),48.169621,17.12951088
Bruxelles / Brussel,32(3.1),37(3.6),20(1.9),44(4.1),33(3),31(2.8),24(2.1),30(2.6),50.842701,4.378109932
Bucuresti,27(1.4),25(1.3),22(1.1),17(0.9),20(1),22(1.1),17(0.9),21(1.1),44.439663,26.096306
Budapest,31(1.8),30(1.8),17(1),26(1.5),36(2.1),32(1.9),32(1.8),28(1.6),47.513031,19.12298012
Cardiff,5(1.6),5(1.6),3(0.9),2(0.6),4(1.3),3(0.9),2(0.6),3(0.9),51.495399,-3.237950087
Dublin,29(2.6),33(2.7),31(2.5),26(2),29(2.1),30(2),(0),(0),53.333099,-6.248889923
Edinburgh,12(2.4),11(2.2),10(2),5(1),7(1.4),9(1.8),9(1.8),5(1),55.954151,-3.202769995
Genève,5(2.7),1(0.5),0(0),4(2.2),6(3.3),2(1.1),5(2.7),0(0),46.200000,6.15
Helsinki,13(2.3),14(2.5),10(1.8),16(2.8),7(1.2),12(2),14(2.4),12(2),60.170800,24.9375
København,13(1.2),9(0.8),7(0.6),8(0.7),13(1.1),4(0.3),16(1.3),14(1.1),55.713261,12.53493023
Lisboa,15(0.7),16(0.8),14(0.6),10(0.4),5(0.2),6(0.3),6(0.2),13(0.6),38.713800,9.1394
Ljubljana,4(1.5),1(0.4),3(1.1),0(0),1(0.4),3(1.1),4(1.4),2(0.7),46.055600,14.5083
London,177(2.4),160(2.1),161(2.1),155(2.1),118(1.6),133(1.8),100(1.3),107(1.3),51.506420,-0.127210006
Luxembourg (city),1(1.1),4(4.2),3(3.2),3(3.2),5(5.3),0(0),3(3.2),0(0),49.777882,6.094746113
Madrid,36(1.1),37(1.2),34(1.1),39(1.2),32(1),28(0.9),21(0.6),28(0.9),40.420280,-3.705770016
Moscow,766(7.1),767(7),629(5.7),262(5.6),481(4.2),483(4.2),439(3.8),(0),55.756969,37.61502075
Oslo,9(1.6),9(1.6),8(1.4),12(2.1),7(1.2),5(0.9),19(13.2),8(1.2),59.950000,10.75
Paris,34(1.6),29(1.3),33(1.5),35(1.6),25(1.1),42(1.8),40(1.8),41(1.8),48.856930,2.341200113
Podgorica,12(6.5),11(5.9),7(3.7),7(3.6),8(4.1),7(3.5),7(3.5),7(3.5),42.435429,19.26390076
Praha,15(1.2),21(1.7),21(1.7),15(1.2),18(1.5),16(1.3),10(0.8),18(1.4),50.126919,14.45672035
Reykjavik,2(1),0(0),2(1),0(0),1(0.5),1(0.5),3(1.5),1(0.5),64.147408,-21.93399048
Riga,35(4.8),46(6.3),29(4),30(4.2),37(5.2),23(3.3),18(2.7),26(4),57.027699,24.04470062
Roma,34(1.3),26(1),29(1.1),28(1.1),29(1.1),9(0.3),27(1),24(0.9),41.903049,12.49580002
Skopje,15(2.9),19(3.6),21(4),13(2.5),12(2.3),14(2.6),11(2.1),8(1.5),41.994740,21.42999077
Sofia,38(3.1),27(2.2),24(1.9),27(2.2),26(2.1),20(1.6),20(1.5),24(1.8),42.678192,23.39904404
Tallinn,40(10.1),21(5.3),35(8.8),24(6),29(7.3),22(5.5),29(7.3),20(5),59.437199,24.75370026
Valletta,0(0),0(0),0(0),0(0),0(0),1(15.9),0(0),0(0),35.893532,14.51177979
Vilnius,43(7.8),32(5.8),41(7.4),58(10.4),30(5.4),26(4.7),22(4.1),19(3.5),54.690620,25.2698307
Warszawa,37(2.2),36(2.1),37(2.2),25(1.5),33(2.1),21(1.9),29(1.8),25(1.6),52.228748,21.00625038
Wien,22(1.3),18(1.1),20(1.2),15(0.9),19(1.1),17(1),25(1.5),24(1.4),48.208427,16.37782097
Zagreb,17(2.1),11(1.4),6(0.8),15(1.9),5(0.6),12(1.3),11(1.4),10(1.3),45.801899,15.94709969
